reserved_od,service,region,type,multiaz,license,os/db,utilization,term,payment_type,price,upfront
ondemand,ec2,us-east-1,t2.nano,,,linux,,,,0.0065,
ondemand,ec2,us-east-1,t2.micro,,,linux,,,,0.013,
ondemand,ec2,us-east-1,t2.small,,,linux,,,,0.026,
ondemand,ec2,us-east-1,t2.medium,,,linux,,,,0.052,
ondemand,ec2,us-east-1,t2.large,,,linux,,,,0.104,
ondemand,ec2,us-east-1,m4.large,,,linux,,,,0.12,
ondemand,ec2,us-east-1,m4.xlarge,,,linux,,,,0.239,
ondemand,ec2,us-east-1,m4.2xlarge,,,linux,,,,0.479,
ondemand,ec2,us-east-1,m4.4xlarge,,,linux,,,,0.958,
ondemand,ec2,us-east-1,m4.10xlarge,,,linux,,,,2.394,
ondemand,ec2,us-east-1,m4.16xlarge,,,linux,,,,3.83,
ondemand,ec2,us-east-1,m3.medium,,,linux,,,,0.067,
ondemand,ec2,us-east-1,m3.large,,,linux,,,,0.133,
ondemand,ec2,us-east-1,m3.xlarge,,,linux,,,,0.266,
ondemand,ec2,us-east-1,m3.2xlarge,,,linux,,,,0.532,
ondemand,ec2,us-east-1,c4.large,,,linux,,,,0.105,
ondemand,ec2,us-east-1,c4.xlarge,,,linux,,,,0.209,
ondemand,ec2,us-east-1,c4.2xlarge,,,linux,,,,0.419,
ondemand,ec2,us-east-1,c4.4xlarge,,,linux,,,,0.838,
ondemand,ec2,us-east-1,c4.8xlarge,,,linux,,,,1.675,
ondemand,ec2,us-east-1,c3.large,,,linux,,,,0.105,
ondemand,ec2,us-east-1,c3.xlarge,,,linux,,,,0.21,
ondemand,ec2,us-east-1,c3.2xlarge,,,linux,,,,0.42,
ondemand,ec2,us-east-1,c3.4xlarge,,,linux,,,,0.84,
ondemand,ec2,us-east-1,c3.8xlarge,,,linux,,,,1.68,
ondemand,ec2,us-east-1,p2.xlarge,,,linux,,,,0.9,
ondemand,ec2,us-east-1,p2.8xlarge,,,linux,,,,7.2,
ondemand,ec2,us-east-1,p2.16xlarge,,,linux,,,,14.4,
ondemand,ec2,us-east-1,g2.2xlarge,,,linux,,,,0.65,
ondemand,ec2,us-east-1,g2.8xlarge,,,linux,,,,2.6,
ondemand,ec2,us-east-1,x1.16xlarge,,,linux,,,,6.669,
ondemand,ec2,us-east-1,x1.32xlarge,,,linux,,,,13.338,
ondemand,ec2,us-east-1,r3.large,,,linux,,,,0.166,
ondemand,ec2,us-east-1,r3.xlarge,,,linux,,,,0.333,
ondemand,ec2,us-east-1,r3.2xlarge,,,linux,,,,0.665,
ondemand,ec2,us-east-1,r3.4xlarge,,,linux,,,,1.33,
ondemand,ec2,us-east-1,r3.8xlarge,,,linux,,,,2.66,
ondemand,ec2,us-east-1,i2.xlarge,,,linux,,,,0.853,
ondemand,ec2,us-east-1,i2.2xlarge,,,linux,,,,1.705,
ondemand,ec2,us-east-1,i2.4xlarge,,,linux,,,,3.41,
ondemand,ec2,us-east-1,i2.8xlarge,,,linux,,,,6.82,
ondemand,ec2,us-east-1,d2.xlarge,,,linux,,,,0.69,
ondemand,ec2,us-east-1,d2.2xlarge,,,linux,,,,1.38,
ondemand,ec2,us-east-1,d2.4xlarge,,,linux,,,,2.76,
ondemand,ec2,us-east-1,d2.8xlarge,,,linux,,,,5.52,
ondemand,ec2,us-east-2,t2.nano,,,linux,,,,0.0065,
ondemand,ec2,us-east-2,t2.micro,,,linux,,,,0.013,
ondemand,ec2,us-east-2,t2.small,,,linux,,,,0.026,
ondemand,ec2,us-east-2,t2.medium,,,linux,,,,0.052,
ondemand,ec2,us-east-2,t2.large,,,linux,,,,0.104,
ondemand,ec2,us-east-2,m4.large,,,linux,,,,0.12,
ondemand,ec2,us-east-2,m4.xlarge,,,linux,,,,0.239,
ondemand,ec2,us-east-2,m4.2xlarge,,,linux,,,,0.479,
ondemand,ec2,us-east-2,m4.4xlarge,,,linux,,,,0.958,
ondemand,ec2,us-east-2,m4.10xlarge,,,linux,,,,2.394,
ondemand,ec2,us-east-2,m4.16xlarge,,,linux,,,,3.83,
ondemand,ec2,us-east-2,c4.large,,,linux,,,,0.105,
ondemand,ec2,us-east-2,c4.xlarge,,,linux,,,,0.209,
ondemand,ec2,us-east-2,c4.2xlarge,,,linux,,,,0.419,
ondemand,ec2,us-east-2,c4.4xlarge,,,linux,,,,0.838,
ondemand,ec2,us-east-2,c4.8xlarge,,,linux,,,,1.675,
ondemand,ec2,us-east-2,x1.16xlarge,,,linux,,,,6.669,
ondemand,ec2,us-east-2,x1.32xlarge,,,linux,,,,13.338,
ondemand,ec2,us-east-2,r3.large,,,linux,,,,0.166,
ondemand,ec2,us-east-2,r3.xlarge,,,linux,,,,0.333,
ondemand,ec2,us-east-2,r3.2xlarge,,,linux,,,,0.665,
ondemand,ec2,us-east-2,r3.4xlarge,,,linux,,,,1.33,
ondemand,ec2,us-east-2,r3.8xlarge,,,linux,,,,2.66,
ondemand,ec2,us-east-2,i2.xlarge,,,linux,,,,0.853,
ondemand,ec2,us-east-2,i2.2xlarge,,,linux,,,,1.705,
ondemand,ec2,us-east-2,i2.4xlarge,,,linux,,,,3.41,
ondemand,ec2,us-east-2,i2.8xlarge,,,linux,,,,6.82,
ondemand,ec2,us-east-2,d2.xlarge,,,linux,,,,0.69,
ondemand,ec2,us-east-2,d2.2xlarge,,,linux,,,,1.38,
ondemand,ec2,us-east-2,d2.4xlarge,,,linux,,,,2.76,
ondemand,ec2,us-east-2,d2.8xlarge,,,linux,,,,5.52,
ondemand,ec2,us-west-2,t2.nano,,,linux,,,,0.0065,
ondemand,ec2,us-west-2,t2.micro,,,linux,,,,0.013,
ondemand,ec2,us-west-2,t2.small,,,linux,,,,0.026,
ondemand,ec2,us-west-2,t2.medium,,,linux,,,,0.052,
ondemand,ec2,us-west-2,t2.large,,,linux,,,,0.104,
ondemand,ec2,us-west-2,m4.large,,,linux,,,,0.12,
ondemand,ec2,us-west-2,m4.xlarge,,,linux,,,,0.239,
ondemand,ec2,us-west-2,m4.2xlarge,,,linux,,,,0.479,
ondemand,ec2,us-west-2,m4.4xlarge,,,linux,,,,0.958,
ondemand,ec2,us-west-2,m4.10xlarge,,,linux,,,,2.394,
ondemand,ec2,us-west-2,m4.16xlarge,,,linux,,,,3.83,
ondemand,ec2,us-west-2,m3.medium,,,linux,,,,0.067,
ondemand,ec2,us-west-2,m3.large,,,linux,,,,0.133,
ondemand,ec2,us-west-2,m3.xlarge,,,linux,,,,0.266,
ondemand,ec2,us-west-2,m3.2xlarge,,,linux,,,,0.532,
ondemand,ec2,us-west-2,c4.large,,,linux,,,,0.105,
ondemand,ec2,us-west-2,c4.xlarge,,,linux,,,,0.209,
ondemand,ec2,us-west-2,c4.2xlarge,,,linux,,,,0.419,
ondemand,ec2,us-west-2,c4.4xlarge,,,linux,,,,0.838,
ondemand,ec2,us-west-2,c4.8xlarge,,,linux,,,,1.675,
ondemand,ec2,us-west-2,c3.large,,,linux,,,,0.105,
ondemand,ec2,us-west-2,c3.xlarge,,,linux,,,,0.21,
ondemand,ec2,us-west-2,c3.2xlarge,,,linux,,,,0.42,
ondemand,ec2,us-west-2,c3.4xlarge,,,linux,,,,0.84,
ondemand,ec2,us-west-2,c3.8xlarge,,,linux,,,,1.68,
ondemand,ec2,us-west-2,p2.xlarge,,,linux,,,,0.9,
ondemand,ec2,us-west-2,p2.8xlarge,,,linux,,,,7.2,
ondemand,ec2,us-west-2,p2.16xlarge,,,linux,,,,14.4,
ondemand,ec2,us-west-2,g2.2xlarge,,,linux,,,,0.65,
ondemand,ec2,us-west-2,g2.8xlarge,,,linux,,,,2.6,
ondemand,ec2,us-west-2,x1.16xlarge,,,linux,,,,6.669,
ondemand,ec2,us-west-2,x1.32xlarge,,,linux,,,,13.338,
ondemand,ec2,us-west-2,r3.large,,,linux,,,,0.166,
ondemand,ec2,us-west-2,r3.xlarge,,,linux,,,,0.333,
ondemand,ec2,us-west-2,r3.2xlarge,,,linux,,,,0.665,
ondemand,ec2,us-west-2,r3.4xlarge,,,linux,,,,1.33,
ondemand,ec2,us-west-2,r3.8xlarge,,,linux,,,,2.66,
ondemand,ec2,us-west-2,i2.xlarge,,,linux,,,,0.853,
ondemand,ec2,us-west-2,i2.2xlarge,,,linux,,,,1.705,
ondemand,ec2,us-west-2,i2.4xlarge,,,linux,,,,3.41,
ondemand,ec2,us-west-2,i2.8xlarge,,,linux,,,,6.82,
ondemand,ec2,us-west-2,d2.xlarge,,,linux,,,,0.69,
ondemand,ec2,us-west-2,d2.2xlarge,,,linux,,,,1.38,
ondemand,ec2,us-west-2,d2.4xlarge,,,linux,,,,2.76,
ondemand,ec2,us-west-2,d2.8xlarge,,,linux,,,,5.52,
ondemand,ec2,us-west-1,t2.nano,,,linux,,,,0.0085,
ondemand,ec2,us-west-1,t2.micro,,,linux,,,,0.017,
ondemand,ec2,us-west-1,t2.small,,,linux,,,,0.034,
ondemand,ec2,us-west-1,t2.medium,,,linux,,,,0.068,
ondemand,ec2,us-west-1,t2.large,,,linux,,,,0.136,
ondemand,ec2,us-west-1,m4.large,,,linux,,,,0.14,
ondemand,ec2,us-west-1,m4.xlarge,,,linux,,,,0.279,
ondemand,ec2,us-west-1,m4.2xlarge,,,linux,,,,0.559,
ondemand,ec2,us-west-1,m4.4xlarge,,,linux,,,,1.117,
ondemand,ec2,us-west-1,m4.10xlarge,,,linux,,,,2.793,
ondemand,ec2,us-west-1,m4.16xlarge,,,linux,,,,4.469,
ondemand,ec2,us-west-1,m3.medium,,,linux,,,,0.077,
ondemand,ec2,us-west-1,m3.large,,,linux,,,,0.154,
ondemand,ec2,us-west-1,m3.xlarge,,,linux,,,,0.308,
ondemand,ec2,us-west-1,m3.2xlarge,,,linux,,,,0.616,
ondemand,ec2,us-west-1,c4.large,,,linux,,,,0.131,
ondemand,ec2,us-west-1,c4.xlarge,,,linux,,,,0.262,
ondemand,ec2,us-west-1,c4.2xlarge,,,linux,,,,0.524,
ondemand,ec2,us-west-1,c4.4xlarge,,,linux,,,,1.049,
ondemand,ec2,us-west-1,c4.8xlarge,,,linux,,,,2.098,
ondemand,ec2,us-west-1,c3.large,,,linux,,,,0.12,
ondemand,ec2,us-west-1,c3.xlarge,,,linux,,,,0.239,
ondemand,ec2,us-west-1,c3.2xlarge,,,linux,,,,0.478,
ondemand,ec2,us-west-1,c3.4xlarge,,,linux,,,,0.956,
ondemand,ec2,us-west-1,c3.8xlarge,,,linux,,,,1.912,
ondemand,ec2,us-west-1,g2.2xlarge,,,linux,,,,0.702,
ondemand,ec2,us-west-1,g2.8xlarge,,,linux,,,,2.808,
ondemand,ec2,us-west-1,r3.large,,,linux,,,,0.185,
ondemand,ec2,us-west-1,r3.xlarge,,,linux,,,,0.371,
ondemand,ec2,us-west-1,r3.2xlarge,,,linux,,,,0.741,
ondemand,ec2,us-west-1,r3.4xlarge,,,linux,,,,1.482,
ondemand,ec2,us-west-1,r3.8xlarge,,,linux,,,,2.964,
ondemand,ec2,us-west-1,i2.xlarge,,,linux,,,,0.938,
ondemand,ec2,us-west-1,i2.2xlarge,,,linux,,,,1.876,
ondemand,ec2,us-west-1,i2.4xlarge,,,linux,,,,3.751,
ondemand,ec2,us-west-1,i2.8xlarge,,,linux,,,,7.502,
ondemand,ec2,us-west-1,d2.xlarge,,,linux,,,,0.781,
ondemand,ec2,us-west-1,d2.2xlarge,,,linux,,,,1.563,
ondemand,ec2,us-west-1,d2.4xlarge,,,linux,,,,3.125,
ondemand,ec2,us-west-1,d2.8xlarge,,,linux,,,,6.25,
ondemand,ec2,eu-west-1,t2.nano,,,linux,,,,0.007,
ondemand,ec2,eu-west-1,t2.micro,,,linux,,,,0.014,
ondemand,ec2,eu-west-1,t2.small,,,linux,,,,0.028,
ondemand,ec2,eu-west-1,t2.medium,,,linux,,,,0.056,
ondemand,ec2,eu-west-1,t2.large,,,linux,,,,0.112,
ondemand,ec2,eu-west-1,m4.large,,,linux,,,,0.132,
ondemand,ec2,eu-west-1,m4.xlarge,,,linux,,,,0.264,
ondemand,ec2,eu-west-1,m4.2xlarge,,,linux,,,,0.528,
ondemand,ec2,eu-west-1,m4.4xlarge,,,linux,,,,1.056,
ondemand,ec2,eu-west-1,m4.10xlarge,,,linux,,,,2.641,
ondemand,ec2,eu-west-1,m4.16xlarge,,,linux,,,,4.226,
ondemand,ec2,eu-west-1,m3.medium,,,linux,,,,0.073,
